Country.Other;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;Serious.Critical;Tot.Cases.1M.pop;Deaths.1M.pop;TotalTests;Tests.1M.pop;Continent;Death Rate(%) DR;Recover Rate(%) RR;Country Severity Index (Deaths/Recovered*100)
World;1997666;73729;126597;6979;478503;1392566;51592;  256,00;  16,20;NA;NA;All; 6,3372456; 23,9531033;  26,4568874
USA; 613886;26945; 26047;2407; 38820; 549019;13473; 1855,00;  79,00;3065019;  9260;North America; 4,2429702;  6,3236497;  67,0968573
Spain; 174060; 3961; 18255; 499; 67504;  88301; 7371; 3723,00; 390,00; 600000; 12833;Europe;10,4877628; 38,7820292;  27,0428419
Italy; 162488; 2972; 21067; 602; 37130; 104291; 3186; 2687,00; 348,00;1073689; 17758;Europe;12,9652651; 22,8509182;  56,7384864
France; 143303; 6524; 15729; 762; 28805;  98769; 6730; 2195,00; 241,00; 333807;  5114;Europe;10,9760438; 20,1007655;  54,6051033
Germany; 132210; 2138;  3495; 301; 68200;  60515; 4288; 1578,00;  42,00;1317887; 15730;Europe; 2,6435217; 51,5846003;   5,1246334
UK;  93873; 5252; 12107; 778;NA;  81422; 1559; 1383,00; 178,00; 382650;  5637;Europe;12,8972122;NA;NA
China;  82295;   46;  3342;   1; 77816;   1137;  113;   57,00;   2,00;NA;NA;Asia; 4,0610001; 94,5573850;   4,2947466
Iran;  74877; 1574;  4683;  98; 48129;  22065; 3691;  891,00;  56,00; 287359;  3421;Asia; 6,2542570; 64,2774150;   9,7301004
Turkey;  65111; 4062;  1403; 107;  4799;  58909; 1809;  772,00;  17,00; 443626;  5260;Asia; 2,1547818;  7,3704904;  29,2352573
Belgium;  31119;  530;  4157; 254;  6868;  20094; 1223; 2685,00; 359,00; 102151;  8814;Europe;13,3583984; 22,0701179;  60,5270821
Netherlands;  27419;  868;  2945; 122;   250;  24224; 1358; 1600,00; 172,00; 134972;  7877;Europe;10,7407272;  0,9117765;1178,0000000
Canada;  27063; 1383;   903; 123;  8235;  17925;  557;  717,00;  24,00; 450717; 11942;North America; 3,3366589; 30,4289990;  10,9653916
Switzerland;  25936;  248;  1174;  36; 13700;  11062;  386; 2997,00; 136,00; 199000; 22993;Europe; 4,5265268; 52,8223319;   8,5693431
